event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
2105,139,Angers,away, 69 ,Substitution, Abdallah Sima , Sofiane Boufal 
2106,139,Angers,away, 69 ,Substitution, Amine Salama , Lois Diony 
2107,139,Olympique Lyonnais,home, 70 ,Substitution, Damien Da Silva , Thiago Mendes 
2108,139,Olympique Lyonnais,home, 70 ,Substitution, Henrique , Malo Gusto 
2109,139,Angers,away, 77 ,Substitution, Sada Thioub , Yann Valery 
2110,139,Angers,away, 78 ,Substitution, Pierrick Capelle , Azzedine Ounahi 
2111,139,Olympique Lyonnais,home, 80 ,Substitution, Bradley Barcola , Karl Toko Ekambi 
2112,139,Angers,away, 84 ,Substitution, Himad Abdelli , Adrien Hunou 
2113,139,Olympique Lyonnais,home, 88 ,Goal, Moussa Dembele ,
2114,140,Marseille,away, 7 ,Goal, Gerson ,
2115,140,Auxerre,home, 39 ,Yellow card, Jubal ,
2116,140,Marseille,away, 45 ,Substitution, Nuno Tavares , Jonathan Clauss 
2117,140,Auxerre,home, 57 ,Substitution, Niang , Rayan Raveloson 
2118,140,Marseille,away, 59 ,Substitution, Alexis Sanchez , Cengiz Ünder 
2119,140,Marseille,away, 59 ,Substitution, Matteo Guendouzi , Gerson 
2120,140,Marseille,away, 67 ,Substitution, Pape Gueye , Issa Kaboré 
2121,140,Auxerre,home, 69 ,Substitution, Gaetan Perrin , Mathias Autret 
2122,140,Auxerre,home, 69 ,Substitution, Lassine Sinayoko , Gauthier Hein 
2123,140,Auxerre,home, 78 ,Substitution, Youssouf M'Changama , Nuno da Costa 
